track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
2k5rWMAz9RvFS3k3kk3cc5,135000,65,0.726,0.141,0.481,0.0,0.155,-8.254,0.207,79.978,4,1
1ZiReD9pPTttQWwSoYqdyH,221271,69,0.544,0.791,0.307,0.0,0.11,-11.361,0.0334,177.808,4,1
7mxEWcW3A0jULs64ckyq9k,154160,69,0.727,0.16,0.69,0.0,0.137,-5.063,0.0721,94.935,4,1
526SpJgLqe5JZtyXNo0Ic6,170880,51,0.75,0.326,0.401,0.177,0.269,-9.105,0.305,139.695,4,1
45HHTHXv7gQ5q2r89ui2Fy,127802,60,0.787,0.566,0.478,0.0,0.147,-8.761,0.092,79.029,4,1
6Jrdb6CFOJEGaHjaa6c4WR,140665,81,0.783,0.426,0.75,0.0,0.241,-5.762,0.078,97.953,4,1
7i2theCezASheQ8KmXRc7b,150936,40,0.73,0.468,0.645,0.0,0.556,-6.937,0.199,97.866,4,1
3afkJSKX0EAMsJXTZnDXXJ,201538,81,0.578,0.162,0.537,0.0,0.076,-8.676,0.0832,83.909,4,1
4SmMVj2SnYXPA2M9LhtCnO,221936,60,0.394,0.364,0.566,1.58e-06,0.0925,-7.97,0.0278,82.188,4,1
560V8xbikuV7YVXqbpDGOv,244500,39,0.676,0.692,0.571,2.67e-06,0.117,-9.415,0.077,79.994,4,1
6pvpFQ2jaI6oXAswo3GSUW,216107,54,0.62,0.905,0.222,0.000809,0.134,-15.676,0.0353,89.94,4,1
3fwyItGexa88kR8j76dIqv,194285,66,0.445,0.819,0.28,1.29e-05,0.111,-12.668,0.0275,104.743,4,1
5PiPZVKX9xIeqfg7sT0vpZ,220500,38,0.594,0.0999,0.577,1.01e-05,0.101,-7.066,0.0526,160.055,4,1
5GlPyea0WIbj3PI66a9Dft,180000,44,0.676,0.775,0.385,0.0,0.359,-13.063,0.0595,100.034,4,1
4LtSTc3xANVhYeeN69nscM,233471,56,0.464,0.755,0.391,9.64e-05,0.105,-9.884,0.0384,106.887,4,1
0lQaP3ttoUjMprcvRu3yeI,213451,65,0.691,0.356,0.452,0.0,0.308,-8.026,0.0472,112.966,4,1
1ELMyeJLDHUz3cK3XTWgEi,286120,56,0.5,0.641,0.588,4.52e-05,0.327,-7.66,0.0362,81.973,4,1
6TVqffNTpDAlfCtDIKyFbZ,136062,50,0.855,0.0415,0.405,8.39e-06,0.209,-10.189,0.199,87.007,4,1
2ZQLEuaDw9rxJ5u5YR0KEw,142663,55,0.932,0.514,0.462,0.0,0.14,-9.017,0.0964,116.045,4,1
3TfJtvgXTC0BIsRGXD3SLz,136776,50,0.576,0.228,0.649,0.0,0.133,-6.5,0.237,186.056,4,1
6MZyrnqwsLnrWY5Gk0AyXg,184090,55,0.8,0.865,0.209,4.11e-05,0.252,-12.652,0.0408,87.972,4,1
3F2BSn4ayglzMwquBRHZq6,214000,68,0.613,0.212,0.685,0.0615,0.0926,-7.993,0.0419,139.985,4,1
