track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
4LRPiXqCikLlN15c3yImP7,As It Was,As It Was,Harry Styles,2022-03-31,167303,100,0.52,0.342,0.731,0.00101,0.311,-5.338,0.0557,173.93,4
3ihIZrJreMJPjQdNLrEXnP,In A Minute,In A Minute,Lil Baby,2022-04-07,200470,78,0.643,0.0336,0.605,0.0,0.112,-5.968,0.297,84.216,4
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Something in the Orange,Zach Bryan,2022-04-22,228013,78,0.369,0.555,0.192,8.35e-06,0.0954,-12.151,0.04,175.212,3
7dSZ6zGTQx66c2GF91xCrb,PROVENZA,PROVENZA,KAROL G,2022-04-22,210200,91,0.87,0.656,0.516,0.00823,0.11,-8.006,0.0541,111.005,4
1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,Harry's House,Harry Styles,2022-05-20,177954,84,0.714,0.298,0.728,0.0,0.106,-4.595,0.0468,114.996,4
63oFS9JTsvadCXUqwqA7p0,Shizukana,Shizukana,Isshi Matsuriza,2022-04-08,131786,62,0.47,0.99,0.0593,0.934,0.104,-28.563,0.0355,113.418,4
72kAhVS63uHIQV7drmjjHZ,Say Yea,Say Yea,Jacquees,2022-05-20,205621,49,0.649,0.224,0.661,0.0,0.108,-5.456,0.138,140.325,3
4hq0S6wznq7SHDyMOFXL9i,Tumbling Dice,Exile On Main Street (2010 Re-Mastered),The Rolling Stones,1972-05-12,226333,64,0.615,0.5,0.91,0.511,0.281,-4.248,0.0347,111.013,4
1RF02Cf80mTaeNXG2P2boR,21 Reasons (feat. Ella Henderson),21 Reasons (feat. Ella Henderson),Nathan Dawe,2022-04-29,155253,73,0.621,0.0165,0.785,5.92e-06,0.0512,-4.499,0.11,123.96,4
63WuQOXohQIxOxIFA2K7bR,SUPERMODEL,SUPERMODEL,Måneskin,2022-05-13,148064,79,0.636,0.00164,0.876,0.0,0.117,-3.413,0.0555,120.983,4
1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,Harry's House,Harry Styles,2022-05-20,177954,84,0.714,0.298,0.728,0.0,0.106,-4.595,0.0468,114.996,4
1WCEAGGRD066z2Q89ObXTq,Crazy What Love Can Do,Crazy What Love Can Do,David Guetta,2022-04-08,169756,82,0.601,0.0282,0.713,0.0,0.158,-3.758,0.0449,122.872,4
3aw9iWUQ3VrPQltgwvN9Xu,Family Affair,No More Drama,Mary J. Blige,2001-01-01,265866,75,0.911,0.132,0.551,4.12e-05,0.0863,-3.75,0.0449,92.887,4
3ZpQiJ78LKINrW9SQTgbXd,All I Wanna Do,Tuesday Night Music Club,Sheryl Crow,1993-08-03,272106,68,0.82,0.111,0.528,0.0186,0.257,-11.179,0.0321,120.091,4
39lSeqnyjZJejRuaREfyLL,Hungry Like the Wolf - 2009 Remaster,Rio (Collector's Edition),Duran Duran,1982-05-10,220626,70,0.691,0.0433,0.812,1.16e-06,0.299,-7.772,0.0558,127.568,4
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,Elton John,1972-05-19,281613,79,0.601,0.432,0.532,6.25e-06,0.0925,-9.119,0.0286,136.571,4
6jWkZvd1URGktyTTwcpPpB,My Girl,The Temptations Sing Smokey,The Temptations,1965-01-01,165000,0,0.579,0.625,0.419,0.0,0.0981,-10.72,0.0346,104.564,4
5ueyLj6e6oVaTY0KQ6yLaA,All Shook Up,Elvis' Golden Records,Elvis Presley,1958-03-21,117080,58,0.624,0.881,0.468,6.35e-06,0.144,-12.162,0.132,74.139,4
6I3mqTwhRpn34SLVafSH7G,Ghost,Justice,Justin Bieber,2021-03-19,153190,88,0.601,0.185,0.741,2.91e-05,0.415,-5.569,0.0478,153.96,4
7DwcBgdzqhFJltEaV1XF81,Cooped Up (with Roddy Ricch),Cooped Up,Post Malone,2022-05-12,185857,83,0.669,0.038,0.773,0.0,0.113,-5.619,0.153,93.923,4
312YwRTzTE526nmuCaONji,SOON (feat. Arabian),SOON (feat. Arabian),42 Dugg,2022-05-20,159104,55,0.665,0.112,0.633,0.0,0.0987,-9.324,0.305,168.985,4
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284200,85,0.949,0.0302,0.661,0.0,0.0454,-4.244,0.0572,104.504,4
6ws54n2IzyrIxxyzlG2bVJ,Right On,Right On,Lil Baby,2022-04-08,213975,80,0.535,0.0245,0.618,0.0,0.103,-5.668,0.382,165.991,4
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,2022-04-29,189893,87,0.463,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,4
4eZZofkV1OQ9GDqAgHqNpA,Buga (Lo Lo Lo),Buga (Lo Lo Lo),Kizz Daniel,2022-05-03,183103,67,0.92,0.296,0.716,0.00222,0.104,-7.104,0.105,115.991,4
4Red8fs87G5istv5L8S9kU,Vinyl Days (feat. DJ Premier),Vinyl Days,Logic,2022-05-20,282581,57,0.694,0.38,0.873,0.0,0.122,-2.96,0.333,89.958,4
6zrZ7mVcznNd2Q6qB0iBrq,Can't Anymore,ALPHA,Shenseea,2022-03-11,155307,62,0.771,0.209,0.724,3.51e-06,0.281,-5.372,0.0422,102.991,4
671qYsHx1DL1pNn3qxYg60,AIGHT (feat. Shelley FKA DRAM),AIGHT (feat. Shelley FKA DRAM),WESTSIDE BOOGIE,2022-04-22,164136,59,0.9,0.346,0.503,0.00178,0.127,-9.53,0.153,95.035,4
2IePEfMAtqWS6rLXXFZIgI,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,2021-05-13,224042,73,0.792,0.116,0.707,0.0,0.12,-5.218,0.0623,134.997,4
0QNNd0qMCDbraS1nQPg3aA,HOTEL LOBBY (Unc & Phew),HOTEL LOBBY (Unc & Phew),Quavo,2022-05-20,142657,64,0.821,0.142,0.636,0.0,0.233,-4.479,0.169,127.961,4
0PGRXJFSwpn5OAGFpEwiqK,Remember (with Nigo),I Know NIGO!,Nigo,2022-03-25,135111,63,0.685,0.201,0.744,1.74e-05,0.161,-3.687,0.187,134.95,4
43SIjaufu6brjwKphXhZCJ,DENY,DENY,Boslen,2021-03-05,191835,0,0.739,0.383,0.697,0.0,0.178,-5.309,0.0564,74.999,4
2BxboWjnfktO1E9HGfPXq1,Wheelie (feat. 21 Savage),Wheelie (feat. 21 Savage),Latto,2022-03-11,170270,69,0.911,0.0313,0.667,0.0,0.0854,-6.606,0.277,147.976,4
3baPniPXS0iEII8rDUJdYP,Monalisa,Monalisa,Sarz,2022-05-19,212975,59,0.828,0.106,0.726,0.00101,0.103,-6.389,0.0419,113.017,4
2BEuUkh9r8NCYiVvSKZIol,The Revolution Will Not Be Televised,The Revolution Begins: The Flying Dutchman Masters,Gil Scott-Heron,2012-11-26,187360,0,0.561,0.552,0.765,0.0,0.111,-9.764,0.207,177.609,4
64ydkbrt0xhdJXRaam06Mc,Mile High,Assume Form,James Blake,2019-01-18,193600,0,0.754,0.403,0.37,6.22e-05,0.107,-9.854,0.12,114.941,4
63WuQOXohQIxOxIFA2K7bR,SUPERMODEL,SUPERMODEL,Måneskin,2022-05-13,148064,79,0.636,0.00164,0.876,0.0,0.117,-3.413,0.0555,120.983,4
0HqZX76SFLDz2aW8aiqi7G,Bones,Bones,Imagine Dragons,2022-03-11,165264,86,0.773,0.0206,0.742,0.0,0.0754,-3.678,0.046,114.071,4
70LcF31zb1H0PyJoS1Sx1r,Creep,Pablo Honey,Radiohead,1993-02-22,238640,81,0.515,0.0097,0.43,0.000133,0.129,-9.935,0.0372,91.844,4
6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Woodstock,Portugal. The Man,2017-06-16,163253,74,0.801,0.0417,0.795,0.000113,0.0717,-5.115,0.0504,79.028,4
305WCRhhS10XUcH6AEwZk6,Are You Gonna Be My Girl,Get Born,Jet,2003-09-15,213800,73,0.613,0.00148,0.953,0.000582,0.152,-3.435,0.0855,105.046,4
1w553LQgqi5Wr1EbnPe2bB,Scary Love,The Neighbourhood,The Neighbourhood,2018-03-09,224026,0,0.597,0.000104,0.625,0.0508,0.149,-5.94,0.0308,112.026,4
0ePX6rVjeql7Bt1KurTbAG,"What, Me Worry?","What, Me Worry?",Portugal. The Man,2022-02-09,177397,63,0.722,0.0682,0.889,4.77e-06,0.124,-2.564,0.0416,139.965,4
2AAyBZmMVZSZfgzXRYJOWQ,emo girl (feat. WILLOW),emo girl (feat. WILLOW),Machine Gun Kelly,2022-02-04,159096,61,0.41,0.000406,0.881,4.26e-05,0.922,-3.502,0.087,165.006,4
5l4DU5tgUtLqFSxir6y0dp,Faded Out (feat. Within Temptation),Faded Out (feat. Within Temptation),Asking Alexandria,2022-05-20,185542,53,0.478,0.000151,0.937,0.0,0.198,-4.775,0.0938,74.966,4
04rMpRstoJt3uvqyNGKczX,When The Stars Go Blue,Gold,Ryan Adams,2001-01-01,211666,56,0.59,0.466,0.208,2.81e-05,0.115,-13.25,0.0316,90.084,4
0dgAZ1j5irH1FlA5WrpHW4,Wild Child,Wild Child,The Black Keys,2022-03-10,164866,67,0.68,0.017,0.639,5.09e-06,0.0398,-6.233,0.0278,106.991,4
3dmqIB2Qxe2XZobw9gXxJ6,Mary Jane's Last Dance,Greatest Hits,Tom Petty and the Heartbreakers,2008-05-20,273600,71,0.464,0.0272,0.655,1.34e-06,0.328,-9.058,0.0608,169.515,4
4CeeEOM32jQcH3eN9Q2dGj,Smells Like Teen Spirit,Nevermind (Remastered),Nirvana,1991-09-26,301920,80,0.502,2.55e-05,0.912,0.000173,0.106,-4.556,0.0564,116.761,4
4KcH1ZRV2W1q7Flq0QqC76,Blitzkrieg Bop - 2016 Remaster,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Ramones,1976-04-23,134466,69,0.385,0.000269,0.783,0.47,0.108,-2.533,0.233,176.701,4
6L89mwZXSOwYl76YXfX13s,Basket Case,Dookie,Green Day,1994-02-01,181533,78,0.442,0.00293,0.943,8.71e-06,0.091,-3.205,0.0602,85.064,4
7c1Dar0pIAW7w5TzaGjt9t,Jane Says,Nothing's Shocking,Jane's Addiction,1988-08-23,287000,64,0.402,0.0385,0.597,2.09e-06,0.109,-9.258,0.0327,81.806,4
7ygpwy2qP3NbrxVkHvUhXY,Wonderwall - Remastered,(What's The Story) Morning Glory? (Deluxe Remastered Edition),Oasis,1995,258773,75,0.375,0.000509,0.893,0.0,0.187,-4.097,0.0406,174.323,4
